ano_mes_dia,hor_min_seg,Lat.,Lng.,e,f,g,h
20230218,01:04:38.3377354,-20.3981,-45.7156,0.0,1,-20.8,2.047
20230218,01:04:38.9456941,-20.2645,-45.6391,0.0,1,40.6,0.927
20230218,01:05:39.7880818,-20.5164,-45.7752,0.0,1,-57.2,0.777
20230218,01:05:39.8725691,-20.5033,-45.766,0.0,1,-24.6,0.737
20230218,01:05:39.9212483,-20.5008,-45.7618,0.0,1,-51.1,1.178
20230218,01:05:40.3129202,-20.5013,-45.7637,0.0,1,-26.7,0.731
20230218,01:06:29.1523133,-21.7322,-46.1636,0.0,1,-21.4,0.337
20230218,01:07:08.3260373,-20.8942,-45.9954,0.0,1,-17.8,0.58
20230218,01:07:08.3268217,-20.8934,-45.9912,0.0,1,10.3,0.411
20230218,01:07:08.8145105,-20.8914,-45.9936,0.0,1,17.7,0.439
20230218,01:07:57.5811542,-20.5125,-45.7169,0.0,1,-19.0,0.406
20230218,01:08:03.8480828,-21.2846,-46.5846,0.0,1,-27.2,0.38
20230218,01:08:24.3383241,-21.2673,-46.5433,0.0,1,-8.8,0.654
20230218,01:09:11.4797325,-21.3412,-46.5136,0.0,1,-14.0,0.411
20230218,01:09:45.9039126,-21.3189,-46.5402,0.0,1,-9.0,0.446
20230218,01:09:45.9582645,-21.3206,-46.5412,0.0,1,-10.9,0.305
20230218,01:09:50.1430063,-21.3208,-46.5002,9.2,2,5.9,0.056
20230218,01:09:52.5442353,-21.2634,-46.438,0.0,1,-8.4,0.458
20230218,01:11:07.7962425,-20.8979,-45.9979,0.0,1,-13.9,1.212
20230218,01:11:07.7971579,-20.8995,-45.9969,0.0,1,9.5,0.353
20230218,01:11:07.7987190,-20.9023,-45.9973,0.0,1,17.9,0.129
20230218,01:11:51.9069395,-21.4746,-46.4712,0.0,1,25.3,0.304
20230218,01:11:51.9237249,-21.4636,-46.4713,0.0,1,-9.3,0.316
20230218,01:12:44.9101277,-20.5137,-45.7615,0.0,1,18.0,0.087
20230218,01:12:44.9114947,-20.5201,-45.7686,0.0,1,-27.3,0.852
20230218,01:13:08.9352384,-20.893,-45.9868,0.0,1,-15.8,0.508
20230218,01:13:08.9358143,-20.892,-45.988,0.0,1,14.7,0.287
20230218,01:13:08.9365124,-20.8907,-45.9814,0.0,1,20.2,0.295
20230218,01:14:55.1911319,-21.4784,-46.4627,0.0,1,-60.2,0.382
20230218,01:14:55.2458674,-21.4791,-46.4626,0.0,1,-16.2,0.311
20230218,01:14:55.3070191,-21.4797,-46.4619,0.0,1,-12.5,0.258
20230218,01:14:55.3960460,-21.4797,-46.4622,0.0,1,-13.4,0.344
20230218,01:15:24.0800513,-20.9703,-45.9698,0.0,1,-15.2,0.718
20230218,01:15:24.0808317,-20.9781,-45.9731,0.0,1,-11.5,1.031
20230218,01:15:24.0835035,-20.9656,-45.9628,0.0,1,8.0,0.699
20230218,01:16:31.9555492,-21.4785,-46.4587,0.0,1,18.9,0.137
20230218,01:17:14.0123528,-21.4642,-46.2886,6.1,2,9.7,0.135
